classification_output_accuracy,classification_output_precision,classification_output_recall,loss,segmentation_output_accuracy,segmentation_output_mean_absolute_error,segmentation_output_mean_io_u,val_classification_output_accuracy,val_classification_output_precision,val_classification_output_recall,val_loss,val_segmentation_output_accuracy,val_segmentation_output_mean_absolute_error,val_segmentation_output_mean_io_u
0.16218487918376923,0.2631579041481018,0.005042016971856356,0.6358804702758789,0.9173967838287354,0.18508359789848328,0.46608996391296387,0.12561576068401337,0.0,0.0,0.6127120852470398,0.9308093786239624,0.0915580615401268,0.4654046893119812
0.18462185561656952,0.6775244474411011,0.01747899129986763,0.5728182196617126,0.9321708679199219,0.12471094727516174,0.4660896956920624,0.15270936489105225,0.0,0.0,0.6813404560089111,0.9308093786239624,0.0742497593164444,0.4654046893119812
0.20033612847328186,0.7159090638160706,0.021176470443606377,0.5637781023979187,0.9322090744972229,0.12307804822921753,0.4660896360874176,0.16009852290153503,0.0,0.0,0.6347817778587341,0.9308093786239624,0.0897815153002739,0.4654046893119812
0.23974789679050446,0.706924319267273,0.03689075633883476,0.5418053865432739,0.9339855313301086,0.11612540483474731,0.4660896062850952,0.12561576068401337,0.0,0.0,0.7667043805122375,0.9308093786239624,0.07199563831090927,0.4654046893119812
0.3026050329208374,0.8466386795043945,0.1015966385602951,0.4901267886161804,0.9398377537727356,0.10124371945858002,0.4660898447036743,0.1428571492433548,0.1450381726026535,0.14039409160614014,0.9934791326522827,0.9310904145240784,0.07698486745357513,0.4654046893119812
0.3457983136177063,0.880542516708374,0.14184874296188354,0.4408833384513855,0.9502131938934326,0.08210296928882599,0.4660920798778534,0.1822660118341446,0.4444444477558136,0.08866994827985764,0.5855036973953247,0.9368337392807007,0.07766155898571014,0.4654046893119812
0.4064705967903137,0.87806636095047,0.20453780889511108,0.3970282971858978,0.9561739563941956,0.07174959033727646,0.4661177694797516,0.2536945939064026,0.4830508530139923,0.14039409160614014,0.5543290972709656,0.92774897813797,0.11177315562963486,0.4654046893119812
0.45932772755622864,0.8759188652038574,0.2503361403942108,0.3663420081138611,0.9597029089927673,0.06560967117547989,0.46610337495803833,0.4162561595439911,0.6111111044883728,0.2980295419692993,0.41469109058380127,0.9550142884254456,0.05946139618754387,0.4654046893119812
0.5426890850067139,0.8688879013061523,0.33747899532318115,0.3252495229244232,0.9619634747505188,0.06144331395626068,0.46615615487098694,0.5788177251815796,0.7211155295372009,0.44581282138824463,0.39496082067489624,0.9436854720115662,0.09465156495571136,0.4669184386730194
0.6184874176979065,0.8410780429840088,0.4563025236129761,0.2881354093551636,0.9632713198661804,0.05899671092629433,0.4661995768547058,0.6354680061340332,0.721875011920929,0.568965494632721,0.3070204555988312,0.961858868598938,0.07312923669815063,0.4654046893119812
0.6868907809257507,0.8566172122955322,0.5868907570838928,0.24515213072299957,0.9654568433761597,0.05536573752760887,0.46631112694740295,0.6650246381759644,0.7611940503120422,0.628078818321228,0.3310985565185547,0.9329512119293213,0.09984594583511353,0.46560361981391907
0.7405882477760315,0.8877320289611816,0.6591596603393555,0.21749058365821838,0.9670596718788147,0.052528876811265945,0.4664930999279022,0.6896551847457886,0.7295082211494446,0.6576354503631592,0.37596631050109863,0.9515085220336914,0.07048135995864868,0.4656528830528259
0.7684873938560486,0.9024965167045593,0.7078151106834412,0.1993309110403061,0.968436598777771,0.05043751001358032,0.4666331112384796,0.7955664992332458,0.8405405282974243,0.7660098671913147,0.2141881287097931,0.9649103283882141,0.054569777101278305,0.4681025743484497
0.7984033823013306,0.9232285618782043,0.7478151321411133,0.18138831853866577,0.9695659875869751,0.048460837453603745,0.4670165181159973,0.7266010046005249,0.7506561875343323,0.7044335007667542,0.3371782600879669,0.9644081592559814,0.055744510143995285,0.466086745262146
0.8074789643287659,0.9285200834274292,0.7597479224205017,0.17403258383274078,0.970213770866394,0.04739674925804138,0.46708405017852783,0.7906404137611389,0.8071979284286499,0.7733989953994751,0.2423793077468872,0.9680585265159607,0.04750409722328186,0.46567749977111816
0.8299999833106995,0.9430114030838013,0.7926050424575806,0.15598809719085693,0.9718721508979797,0.044561054557561874,0.4675566256046295,0.7512315511703491,0.7832897901535034,0.738916277885437,0.2712462544441223,0.964155912399292,0.04389538615942001,0.46677064895629883
0.8415966629981995,0.9509366750717163,0.8062185049057007,0.15215426683425903,0.9720662832260132,0.0441863089799881,0.46713611483573914,0.7857142686843872,0.8162729740142822,0.7660098671913147,0.24700966477394104,0.9607285261154175,0.057324446737766266,0.4661814570426941
0.8584873676300049,0.9581987261772156,0.8225210309028625,0.13907013833522797,0.97337406873703,0.041950635612010956,0.46743541955947876,0.8275862336158752,0.8549222946166992,0.8128078579902649,0.2086937129497528,0.9691874980926514,0.03912588953971863,0.4656054973602295
0.87033611536026,0.9619166851043701,0.8384033441543579,0.12993940711021423,0.9743049740791321,0.040427081286907196,0.46772363781929016,0.756157636642456,0.7832897901535034,0.738916277885437,0.2682172358036041,0.9671593308448792,0.04410037025809288,0.46562254428863525
0.8712605237960815,0.962016761302948,0.8385714292526245,0.1273323893547058,0.9748032689094543,0.03953671082854271,0.4685915410518646,0.8103448152542114,0.8303341865539551,0.7955664992332458,0.2089296132326126,0.9707125425338745,0.03702893108129501,0.46676498651504517
0.8789916038513184,0.9657881855964661,0.8468907475471497,0.12412075698375702,0.9754483103752136,0.038346193730831146,0.46855825185775757,0.8226600885391235,0.8563968539237976,0.807881772518158,0.2315780222415924,0.9626443982124329,0.04870585352182388,0.47110748291015625
0.8789075613021851,0.9683040976524353,0.849747896194458,0.1180788055062294,0.9759687781333923,0.03745345026254654,0.4687080979347229,0.8546798229217529,0.8632911443710327,0.8399015069007874,0.1863713264465332,0.9717143177986145,0.03892903029918671,0.46927154064178467
0.8878991603851318,0.9753262996673584,0.8603361248970032,0.11245556175708771,0.9767794013023376,0.0361420214176178,0.4694080650806427,0.8226600885391235,0.8337531685829163,0.8152709603309631,0.23055045306682587,0.9701150059700012,0.038965560495853424,0.4743551015853882
0.8917647004127502,0.9758967757225037,0.8642016649246216,0.10797116905450821,0.9773391485214233,0.03510529175400734,0.4694591462612152,0.8201970458030701,0.8467532396316528,0.802955687046051,0.23932166397571564,0.9707980751991272,0.03691072389483452,0.4705241322517395
0.8936975002288818,0.9746967554092407,0.8642857074737549,0.10747641324996948,0.97776859998703,0.03451962769031525,0.46987295150756836,0.8497536778450012,0.8682170510292053,0.8275862336158752,0.20127837359905243,0.9713118076324463,0.037000805139541626,0.47153452038764954
0.892184853553772,0.9754020571708679,0.8663865327835083,0.10433542728424072,0.9782218933105469,0.033784277737140656,0.47104865312576294,0.8226600885391235,0.8346055746078491,0.807881772518158,0.22766323387622833,0.9693672060966492,0.040324367582798004,0.48280268907546997
