classification_output_accuracy,classification_output_precision_1,classification_output_recall_1,loss,segmentation_output_accuracy,segmentation_output_mean_absolute_error,val_classification_output_accuracy,val_classification_output_precision_1,val_classification_output_recall_1,val_loss,val_segmentation_output_accuracy,val_segmentation_output_mean_absolute_error,learning_rate
0.27457141876220703,0.6232464909553528,0.059238094836473465,0.553618311882019,0.9275486469268799,0.14533627033233643,0.12807881832122803,0.12967580556869507,0.12807881832122803,1.0192385911941528,0.9290866255760193,0.07828222215175629,0.0010000000474974513
0.49628570675849915,0.8371375799179077,0.258476197719574,0.36288192868232727,0.9555839896202087,0.06922775506973267,0.3177340030670166,0.4902912676334381,0.24876847863197327,0.58493971824646,0.9352720379829407,0.07674296945333481,0.0010000000474974513
0.7247619032859802,0.8671517968177795,0.578761875629425,0.23248045146465302,0.9670557379722595,0.05039861798286438,0.23152709007263184,0.23469388484954834,0.16995073854923248,0.6771106719970703,0.9316627979278564,0.07304061204195023,0.0010000000474974513
0.857619047164917,0.9057508111000061,0.8100000023841858,0.1488157957792282,0.9727585315704346,0.04126604646444321,0.7364531755447388,0.7961432337760925,0.7118226885795593,0.3472563922405243,0.9295478463172913,0.09149152785539627,0.0010000000474974513
0.9107618927955627,0.9403604865074158,0.8844761848449707,0.10961196571588516,0.9771137237548828,0.034622933715581894,0.6798029541969299,0.7544910311698914,0.6206896305084229,0.2921704053878784,0.9588642716407776,0.04983040317893028,0.0010000000474974513
0.9365714192390442,0.9554259777069092,0.9206666946411133,0.0876564159989357,0.9794953465461731,0.0306308101862669,0.8226600885391235,0.8501291871070862,0.8103448152542114,0.25106334686279297,0.9508987665176392,0.07135061174631119,0.0010000000474974513
0.9480952620506287,0.963707685470581,0.9357143044471741,0.07457056641578674,0.9811837673187256,0.027968276292085648,0.825123131275177,0.859375,0.8128078579902649,0.21160851418972015,0.9661200642585754,0.048285990953445435,0.0010000000474974513
0.9559047818183899,0.9681162238121033,0.9456190466880798,0.06633584201335907,0.9824927449226379,0.026010524481534958,0.7881773114204407,0.8465753197669983,0.761083722114563,0.22128933668136597,0.9592138528823853,0.061466898769140244,0.0010000000474974513
0.9608571529388428,0.9705169200897217,0.9530476331710815,0.06118778884410858,0.9831589460372925,0.024980779737234116,0.8768472671508789,0.8928571343421936,0.8620689511299133,0.15561187267303467,0.972825825214386,0.034471068531274796,0.0010000000474974513
0.9693333506584167,0.9764410257339478,0.9631428718566895,0.053709726780653,0.9845185875892639,0.022901510819792747,0.8448275923728943,0.8578680157661438,0.8325123190879822,0.1889035999774933,0.974054217338562,0.03320448473095894,0.0010000000474974513
